Device_ID,Device_Type,BS_position,No_of_sensors,Threshold_distance,Energy_consumed_by_amplifier_long_distance,Initial_energy,Cluster_radius,Energy_consumed_by_electronics_circuit,Energy_consumed_by_amplifier_short_distance,Simulation_time,Secondary_model_parameter_value,Bandwidth,Data_packet_size,Message_size,ICMP_IPV4_TYPE,ICMP_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,ATTACK,LABEL,DATASET
Device_1,Camera,787.39,374,95.19,0.0025800335152697637,3.215,20.76,0.0034861182701876156,0.0005053680522102345,1183,3.863,99,1635,3534,0,8,55345,15,34843,226,Normal,0,NF-ToN-IoT-v2
Device_2,Router,454.35,478,58.66,0.0031809330573502486,4.564,67.63,0.0017138126189814582,5.652641946982089e-05,3074,5.47,641,192,1211,11,0,50515,15,6645,220,Port_Scan,1,NF-ToN-IoT-v2
Device_3,Gateway,630.25,362,32.86,0.008515394564432616,2.29,34.65,0.0016985574982955123,0.00028783992749472763,9475,3.223,531,205,2085,3,0,45691,28,65781,200,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_4,Router,248.38,297,28.72,0.006071569351704736,4.148,30.25,0.0014198883524469855,0.0003743322851409829,5666,3.743,271,936,3654,3,8,3602,5,63054,226,Port_Scan,1,NF-ToN-IoT-v2
Device_5,Router,705.46,445,153.92,0.0015422570205607471,4.341,10.62,0.002318856243036984,0.0006292155231651365,6781,0.381,985,1554,709,3,0,41818,2,57643,226,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_6,Actuator,427.6,92,52.47,0.007292068280608733,3.663,77.82,0.003882682788247632,0.0004695691719459644,2724,7.881,1,1605,2394,0,0,65095,5,32667,200,DoS,1,NF-BoT-IoT-v2
Device_7,Gateway,442.55,234,20.58,0.002153846094650796,0.918,88.85,0.004194482656745539,0.0006117598797990664,5605,9.696,287,1391,2625,3,8,27793,5,74582,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_8,Gateway,649.32,421,161.53,0.004386748808113554,0.572,82.89,0.004042088600647811,0.000716194061168743,7649,7.718,997,57,3013,3,0,41737,2,16250,220,Normal,0,NF-BoT-IoT-v2
Device_9,Gateway,936.28,232,39.27,0.006501411644709004,1.259,49.27,0.003143848530298246,5.229148099099381e-05,2832,5.23,180,1821,892,11,8,41009,5,45657,220,DoS,1,NF-ToN-IoT-v2
Device_10,Router,64.01,478,128.78,0.002792102420829124,1.031,55.73,0.0014740949217855633,0.0002656949695335784,2097,8.292,939,1559,1759,3,8,27184,1,47470,200,Normal,0,NF-BoT-IoT-v2
Device_11,Camera,824.74,127,74.34,0.003902657465290343,3.763,28.02,0.0037007905084610504,0.00017919483381928505,9540,8.593,256,1354,2268,8,0,13224,15,72467,150,Brute_Force,1,NF-BoT-IoT-v2
Device_12,Gateway,292.38,491,34.03,0.007368081013311095,3.007,21.42,0.00029287351453643063,0.00019558056797926152,7775,5.491,174,468,2337,11,8,28258,28,66803,425,Port_Scan,1,NF-ToN-IoT-v2
Device_13,Router,443.92,201,88.75,0.009385318438900999,2.867,83.19,0.004010946795821197,0.0005080941416756717,7877,9.378,854,1850,2944,8,0,47502,2,10863,331,Data_Exfiltration,1,NF-BoT-IoT-v2
Device_14,Actuator,21.91,88,12.81,0.005339526063898784,1.638,80.84,0.0039231150639262155,0.000742578988734926,4443,0.399,50,790,1742,0,0,33143,28,39800,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_15,Camera,301.05,87,169.8,0.00019871261841056517,1.196,78.85,0.0033830054545647414,0.00028004926358612356,8303,0.2,532,42,3529,3,0,16406,15,71773,220,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_16,Actuator,502.63,156,107.56,0.0034507911372941217,1.429,49.02,0.0005798347049293308,0.0008262047457543552,3707,0.906,617,1293,329,0,0,62539,28,49951,425,Port_Scan,1,NF-BoT-IoT-v2
Device_17,Camera,56.18,116,36.44,0.004046479914970791,2.301,87.13,0.004986972544088659,0.0008935319520364882,9028,0.673,190,650,1353,0,0,2672,2,39571,150,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_18,Router,491.1,391,55.03,0.0034578188380222164,3.831,92.99,0.0038064050427648764,0.00035702853330014884,609,4.304,751,1465,3684,3,8,12570,28,7005,226,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_19,Sensor,927.11,280,95.12,0.004419061725044072,1.645,36.19,0.003700553471938675,0.000684542973564683,9560,9.409,43,1389,1375,11,8,33797,5,75270,226,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_20,Camera,105.39,399,45.89,0.006363395912802158,3.644,26.35,0.0004136384773936264,0.00012587880114425703,6194,6.785,517,1368,1379,0,0,37143,5,74085,226,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_21,Actuator,764.44,253,61.03,0.0012991674672777564,2.712,49.1,0.002053655120207203,0.0007465880026309637,5845,6.629,975,1056,3455,3,8,59989,15,47986,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_22,Router,409.67,82,111.53,0.0027990420377883045,4.484,22.04,0.0005222476982702091,0.0001733736367218526,4916,3.91,760,554,536,3,0,16776,5,6709,425,DoS,1,NF-ToN-IoT-v2
Device_23,Camera,655.17,366,168.2,0.005125716051574484,1.548,88.98,0.0018690813333642996,0.0006905416457333107,3142,5.384,66,1725,2510,8,0,47049,28,34207,530,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
